date,days_ago,wpm,acc,rawWpm,consistency
2024-03-12,577,65.57,96.36,65.57,62.53
2024-03-13,576,58.06,95.45,58.06,48.53
2024-03-14,575,74.09,98.21,74.09,54.97
2024-03-15,574,74.01,96.49,74.01,67.89
2024-03-16,573,65.2,91.38,71.72,59.37
2024-03-17,572,66.63,96.72,66.63,58.81
2024-03-18,571,69.53,94.64,69.53,61.81
2024-03-19,570,71.72,100.0,71.72,63.96
2024-03-20,569,83.24,100.0,83.24,81.62
2024-03-21,568,60.79,94.83,60.79,71.02
2024-03-22,567,81.26,100.0,81.26,60.18
2024-03-23,566,69.2,100.0,69.2,54.98
2024-03-24,565,86.2,100.0,86.2,74.49
2024-03-25,564,78.33,98.08,78.33,70.14
2024-03-26,563,82.93,94.0,96.44,63.79
2024-03-27,562,83.01,100.0,83.01,75.76
2024-03-28,561,35.94,95.0,35.94,10.8
2024-03-29,560,59.85,92.98,59.85,62.43
2024-03-30,559,79.11,98.25,79.11,69.31
2024-03-31,558,84.08,100.0,84.08,78.62
2024-04-01,557,70.56,98.25,70.56,63.49
2024-04-02,556,84.32,100.0,84.32,76.31
2024-04-03,555,70.38,98.08,70.38,60.18
2024-04-04,554,64.27,91.38,64.27,48.69
2024-04-05,553,69.43,100.0,69.43,74.88
2024-04-06,552,66.59,96.77,66.59,58.41
2024-04-07,551,76.89,100.0,76.89,53.09
2024-04-08,550,69.05,96.55,69.05,75.39
2024-04-09,549,75.87,98.39,75.87,80.69
2024-04-10,548,68.6,100.0,68.6,66.46
2024-04-11,547,74.56,98.11,74.56,55.88
2024-04-12,546,63.84,98.18,63.84,48.95
2024-04-13,545,68.63,100.0,68.63,58.65
2024-04-14,544,64.93,98.28,64.93,71.13
2024-04-15,543,63.61,93.65,63.61,63.44
2024-04-16,542,75.55,96.67,75.55,55.95
2024-04-17,541,59.65,93.22,72.9,43.3
2024-04-18,540,78.52,100.0,78.52,52.93
2024-04-19,539,72.74,98.33,72.74,61.15
2024-04-20,538,90.93,98.04,90.93,70.1
2024-04-21,537,77.95,100.0,77.95,62.94
2024-04-22,536,77.34,100.0,77.34,69.57
2024-04-23,535,74.98,96.36,74.98,65.13
2024-04-24,534,74.31,98.04,74.31,58.43
2024-04-25,533,92.16,100.0,92.16,87.38
2024-04-26,532,91.34,100.0,91.34,55.6
2024-04-27,531,100.66,100.0,100.66,59.41
2024-04-28,530,89.08,100.0,89.08,74.45
2024-04-29,529,72.52,100.0,72.52,52.03
2024-04-30,528,97.86,98.15,97.86,83.39
2024-05-01,527,69.22,92.45,76.75,57.65
2024-05-02,526,76.18,94.34,87.77,45.29
2024-05-03,525,83.71,93.75,95.67,63.93
2024-05-04,524,77.7,95.56,85.28,67.96
2024-05-05,523,85.66,94.55,94.23,87.4
2024-05-06,522,89.42,96.08,99.14,66.62
2024-05-07,521,102.48,100.0,102.48,89.12
2024-05-08,520,109.43,100.0,109.43,79.93
2024-05-09,519,80.69,89.29,92.96,66.88
2024-05-10,518,87.56,98.08,87.56,67.14
2024-05-11,517,107.17,100.0,107.17,71.57
2024-05-12,516,109.19,100.0,109.19,80.75
2024-05-13,515,91.11,97.92,91.11,67.46
2024-05-14,514,98.1,100.0,98.1,77.84
2024-05-15,513,73.2,86.27,116.67,73.05
2024-05-16,512,83.54,100.0,83.54,49.92
2024-05-17,511,114.32,100.0,114.32,56.14
2024-05-18,510,89.7,96.15,89.7,72.2
2024-05-19,509,89.4,100.0,89.4,60.56
2024-05-20,508,70.07,92.0,94.69,79.6
2024-05-21,507,79.1,96.08,79.1,65.88
2024-05-22,506,94.23,98.04,94.23,65.04
2024-05-23,505,91.47,97.96,91.47,59.62
2024-05-24,504,93.89,95.92,112.21,56.22
2024-05-25,503,74.12,97.92,74.12,66.88
2024-05-26,502,74.71,100.0,74.71,57.51
2024-05-27,501,113.01,100.0,113.01,73.91
2024-05-28,500,79.85,86.0,103.59,70.77
2024-05-29,499,77.29,87.27,86.96,61.92
2024-05-30,498,68.5,82.26,86.77,61.51
2024-05-31,497,90.21,100.0,90.21,68.32
2024-06-01,496,95.55,95.45,105.1,59.37
2024-06-02,495,84.87,95.83,84.87,57.32
2024-06-03,494,72.03,93.75,72.03,46.98
2024-06-04,493,94.33,100.0,94.33,63.79
2024-06-05,492,95.3,100.0,95.3,64.65
2024-06-06,491,108.42,98.15,108.42,81.87
2024-06-07,490,91.02,90.2,113.22,85.2
2024-06-08,489,87.97,94.34,105.96,83.44
2024-06-09,488,92.86,92.31,105.53,75.36
2024-06-10,487,54.91,92.31,61.01,55.31
2024-06-11,486,77.76,92.31,77.76,57.21
2024-06-12,485,102.54,91.67,111.86,62.51
2024-06-13,484,88.79,100.0,88.79,56.53
2024-06-14,483,82.08,98.11,82.08,74.03
2024-06-15,482,85.13,100.0,85.13,60.29
2024-06-16,481,83.28,84.62,105.63,77.46
2024-06-17,480,69.81,92.45,79.11,59.85
2024-06-18,479,58.72,92.31,58.72,60.8
2024-06-19,478,60.85,93.22,75.09,52.47
2024-06-20,477,76.4,96.55,76.4,67.12
2024-06-21,476,68.16,100.0,68.16,59.03
2024-06-22,475,79.62,95.0,79.62,47.24
2024-06-23,474,63.17,92.86,71.07,60.73
2024-06-24,473,75.77,96.15,83.83,76.92
2024-06-25,472,82.53,98.0,82.53,54.97
2024-06-26,471,69.58,84.21,85.58,59.03
2024-06-27,470,88.82,100.0,88.82,75.95
2024-06-28,469,90.02,94.23,106.39,78.71
2024-06-29,468,78.26,92.86,78.26,66.09
2024-06-30,467,87.78,100.0,87.78,85.09
2024-07-01,466,86.95,94.64,86.95,53.77
2024-07-02,465,89.84,100.0,89.84,64.66
2024-07-03,464,94.5,94.44,94.5,45.32
2024-07-04,463,77.7,93.62,83.13,51.09
2024-07-05,462,116.03,100.0,116.03,87.23
2024-07-06,461,76.46,92.73,90.37,68.39
2024-07-07,460,86.96,86.54,92.76,45.93
2024-07-08,459,92.5,93.75,92.5,67.09
2024-07-09,458,106.92,100.0,106.92,87.71
2024-07-10,457,96.94,100.0,96.94,71.86
2024-07-11,456,86.6,88.71,96.59,60.38
2024-07-12,455,110.18,100.0,110.18,53.84
2024-07-13,454,79.94,98.15,79.94,56.06
2024-07-14,453,105.39,93.48,118.24,70.22
2024-07-15,452,91.51,94.44,105.14,66.26
2024-07-16,451,105.59,100.0,105.59,80.37
2024-07-17,450,81.69,91.53,93.85,68.46
2024-07-18,449,93.98,95.83,93.98,61.39
2024-07-19,448,95.15,94.55,109.02,55.22
2024-07-20,447,83.31,96.49,83.31,72.19
2024-07-21,446,85.02,90.2,85.02,56.81
